,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
110,Egg Nog #4,,"Ground Nutmeg, 1/4 cup Sugar, 6 Egg white, 1 cup Whipping cream, 1/4 tsp Salt, 1 tsp Vanilla extract, 1/2 cup Bourbon, 1/2 cup Light rum, 2 cups Milk, 1/4 cup Sugar, 6 Egg yolk, ","In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",Optional alcohol,Punch / Party Drink
111,English Highball,,"NoneLemon peel, NoneCarbonated water, 3/4 oz Sweet Vermouth, 3/4 oz Gin, 3/4 oz Brandy, ","Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Alcoholic,Ordinary Drink
112,Espresso Martini,"IBA,NewEra","1 dashSugar syrup, 1 clKahlua, 5 clVodka, ","Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",Alcoholic,Cocktail
113,Espresso Rumtini,"DinnerParty,StrongFlavor","1 shotCoffee, 1 shotEspresso, 1/2 shotVanilla syrup, 1 shotRum, ",Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,Alcoholic,Cocktail
114,Egg Nog - Healthy,,"
Nutmeg, 1 tsp Rum, 1 tsp Vanilla extract, 3/4 cup skimmed Milk, 13 oz skimmed Condensed milk, 3 tblsp Sugar, 1/2 cup Egg, ","Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",Optional alcohol,Punch / Party Drink
115,English Rose Cocktail,,"1 Cherry, 1/4 tsp Lemon juice, 1 tsp Grenadine, 3/4 oz Dry Vermouth, 1 1/2 oz Gin, 3/4 oz Apricot brandy, ",Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,Alcoholic,Ordinary Drink
116,Elderflower Caipirinha,Brazilian,"3 clElderflower cordial, 1Lime, 60 mlCachaca, ",Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,Alcoholic,Cocktail
117,Egg-Nog - Classic Cooked,,"1 tsp Vanilla extract, 1 qt Milk, 1/4 tsp Salt, 1/4 cup Sugar, 6 Egg, ","In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",Optional alcohol,Punch / Party Drink
118,Empellón Cocina's Fat-Washed Mezcal,,"1/2 ozCoffee liqueur, 3/4 ozChocolate liqueur, 2 ozMezcal, ","To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
Garnish with 5 drops habanero tincture.",Alcoholic,Cocktail
119,Frosé,"Cold, Frozen, Summer","2-3 ozLemon Juice, 8 ozStrawberries, 1/2 cupSugar, 750 mlRose, ","Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",Alcoholic,Cocktail
120,Frappé,,"1-2 tsp Sugar, 1/2 cup Milk, 1/2 cup black Coffee, ","Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",Non alcoholic,Coffee / Tea
121,Foxy Lady,,"2 oz Light cream, 1/2 oz Creme de Cacao, 1/2 oz Amaretto, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Alcoholic,Ordinary Drink
122,French 75,"IBA,ContemporaryClassic","1 Maraschino cherry, 1 Orange, 4 oz Chilled Champagne, 1 1/2 oz Lemon juice, 2 tsp superfine Sugar, 1 1/2 oz Gin, ","Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",Alcoholic,Ordinary Drink
123,Figgy Thyme,"Christmas,Sweet","TopTonic Water, 2 dashesAngostura Bitters, 1 SprigThyme, 3Figs, 1 tspHoney, 2 ozVodka, ","In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",Alcoholic,Cocktail
124,Frisco Sour,,"1 slice Lime, 1 slice Lemon, Juice of 1/2 Lime, Juice of 1/4 Lemon, 1/2 oz Benedictine, 2 oz Blended whiskey, ",Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,Alcoholic,Ordinary Drink
125,Fruit Shake,,"6 Ice, 1/2 piece textural Fruit, 4 oz frozen Orange juice, 1 Banana, 1 cup fruit Yoghurt, ",Blend til smooth.,Non alcoholic,Other / Unknown
126,Fruit Cooler,,"NoneIce, 1 L Soda water, 1 Apple, 1 Lemon, 2 tblsp Sugar, 1 cup Strawberries, 1 can frozen Apple juice, ","Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",Non alcoholic,Other / Unknown
127,Freddy Kruger,,"1/2 oz Vodka, 1/2 oz Sambuca, 1/2 oz Jägermeister, ",make it an ample size shot!!,Alcoholic,Shot
128,Funk and Soul,,"TopSoda Water, Juice of 1/2lemon, 1 shotPomegranate juice, 1 shotApricot Nectar, 2 shotsRum, ",Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,Alcoholic,Cocktail
129,Fuzzy Asshole,,"1/2 Peach schnapps, 1/2 Coffee, ",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,Alcoholic,Coffee / Tea
130,French Martini,"NewEra,IBA","1.5 clpineapple juice, 1.5 clRaspberry Liqueur, 4.5 clVodka, ",Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,Alcoholic,Cocktail
131,French Negroni,,"1Orange Peel, 1 ozSweet Vermouth, 1 ozLillet, 1 ozGin, ","Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",Alcoholic,Cocktail
132,Fahrenheit 5000,,"1 dash Tabasco sauce, 1/2 oz Absolut Peppar, 1/2 oz Firewater, ",Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,Alcoholic,Shot
133,Flying Dutchman,,"1/2 oz Triple sec, 2 oz Gin, ","In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",Alcoholic,Ordinary Drink
134,Frozen Daiquiri,,"1 cup crushed Ice, 1 Cherry, 1 tsp Sugar, 1 1/2 oz Lime juice, 1 tblsp Triple sec, 1 1/2 oz Light rum, ","Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",Alcoholic,Ordinary Drink
135,Fruit Flip-Flop,,"1 cup Fruit juice, 1 cup Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Non alcoholic,Other / Unknown
136,Flying Scotchman,,"1/4 tsp Sugar syrup, 1 dash Bitters, 1 oz Sweet Vermouth, 1 oz Scotch, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
137,French Connection,"IBA,ContemporaryClassic","3/4 oz Amaretto, 1 1/2 oz Cognac, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Alcoholic,Ordinary Drink
138,Flaming Dr. Pepper,,"1 oz Beer, 1 oz Dr. Pepper, 1 oz Bacardi 151 proof rum, 1 oz Vodka, 1 oz Amaretto, ","Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",Alcoholic,Shot
139,Flaming Lamborghini,,"1 oz Baileys irish cream, 1 oz Blue Curacao, 1 oz Sambuca, 1 oz Kahlua, ","Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",Alcoholic,Cocktail
140,Flander's Flake-Out,,"3/4 glass Sarsaparilla, 1/4 glass Sambuca, ",Bang 'em both in.,Alcoholic,Ordinary Drink
141,Frozen Mint Daiquiri,,"1 tsp Sugar, 6 Mint, 1 tblsp Lime juice, 2 oz Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,Alcoholic,Ordinary Drink
142,Frozen Pineapple Daiquiri,,"1/2 tsp Sugar, 1 tblsp Lime juice, 4 chunks Pineapple, 1 1/2 oz Light rum, ",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,Alcoholic,Ordinary Drink
143,GG,,"NoneIce, NoneGinger ale, 2 1/2 shots Galliano, ",Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,Optional alcohol,Ordinary Drink
144,Gimlet,,"1Lime, 1/2 ozSugar Syrup, 1/2 ozLime Juice, 2 1/2 ozGin, ","Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",Alcoholic,Cocktail
145,Godchild,,"1 oz Heavy cream, 1 oz Amaretto, 1 oz Vodka, ","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Alcoholic,Ordinary Drink
146,Gin Fizz,"IBA,Classic","NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin, ","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",Alcoholic,Ordinary Drink
147,Gin Sour,Sour,"1 Maraschino cherry, 1 Orange, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Alcoholic,Ordinary Drink
148,Gagliardo,,"1 part Sirup of roses, 1 part Galliano, 3 parts Lemon juice, 5 parts Peach Vodka, ","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",Alcoholic,Cocktail
149,Godmother,"IBA,ContemporaryClassic","3/4 oz Amaretto, 1 1/2 oz Vodka, ",Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Alcoholic,Ordinary Drink
150,Godfather,"IBA,ContemporaryClassic","3/4 oz Amaretto, 1 1/2 oz Scotch, ",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Alcoholic,Ordinary Drink
151,Gluehwein,,"1 tblsp Lemon peel, 3 Cloves, 1 Cinnamon, 60 gr Sugar, 125 ml Water, 1 L Red wine, ","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Optional alcohol,Punch / Party Drink
152,Gin Tonic,,"cubesIce, 1 SliceLemon Peel, 10 clTonic Water, 4 clGin, ","Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",Alcoholic,Cocktail
153,Gin Toddy,,"1 twist of Lemon peel, 1/2 tsp Powdered sugar, 2 tsp Water, 2 oz Gin, ","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Alcoholic,Ordinary Drink
154,Gin Smash,"Citrus,StrongFlavor","1 Cherry, 1 slice Orange, 4 Mint, 1 cube Sugar, 1 oz Carbonated water, 2 oz Gin, ","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Alcoholic,Ordinary Drink
155,Gin Daisy,,"1 Orange, 1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",Alcoholic,Ordinary Drink
156,Gin Lemon,,"cubesIce, 1 SliceLemon Peel, 8 clLemon Juice, 6 clGin, ","For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",Alcoholic,Cocktail
157,Gin Sling,,"Twist of Orange peel, 1 tsp Water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin, ",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Alcoholic,Ordinary Drink
158,Greyhound,,"3 ozGrapefruit Juice, 1 1/2 ozVodka, ","Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",Alcoholic,Cocktail
159,Gin Rickey,,"GarnishLime, Top up withSoda Water, Juice of 1/2 lemon, 1 tsp Grenadine, 2 oz Gin, ",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Alcoholic,Cocktail
160,Gin Squirt,,"NoneCarbonated water, 2 Strawberries, 3 chunksPineapple, 1 tblsp Powdered sugar, 1 tsp Grenadine, 1 1/2 oz Gin, ","Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Alcoholic,Ordinary Drink
161,Grand Blue,,"3 cl Sweet and sour, 1 1/2 cl Blue Curacao, 1 1/2 cl Peach schnapps, 1 1/2 cl Malibu rum, ",Serve in an old fashioned glass.,Alcoholic,Ordinary Drink
162,Gin Cooler,,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneCarbonated water, 2 oz Gin, ",Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,Alcoholic,Ordinary Drink
163,Gin Swizzle,,"3 oz Club soda, 1 dash Bitters, 2 oz Gin, 1 tsp superfine Sugar, 1 1/2 oz Lime juice, ","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Alcoholic,Ordinary Drink
164,Grass Skirt,,"1 Pineapple, 1/2 tsp Grenadine, 1 oz Pineapple juice, 1 oz Triple sec, 1 1/2 oz Gin, ","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Alcoholic,Ordinary Drink
165,Grasshopper,"IBA,ContemporaryClassic,Halloween","3/4 oz Light cream, 3/4 oz white Creme de Cacao, 3/4 oz Green Creme de Menthe, ",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Alcoholic,Ordinary Drink
166,Grim Reaper,,"1 dash Grenadine, 1 oz Bacardi 151 proof rum, 1 oz Kahlua, ",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Alcoholic,Ordinary Drink
167,Gin and Soda,"Clear,Alcoholic","1/4Lime, 5 ozSoda Water, 2 ozGin, ","Pour the Gin and Soda water into a highball glass almost filled with ice cubes.
Stir well.
Garnish with the lime wedge.",Alcoholic,Cocktail
168,H.D.,,"NoneCoffee, 8 cl Baileys irish cream, 4 cl Whisky, ",Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,Alcoholic,Coffee / Tea
169,Honey Bee,Sweet,"2 clLemon Juice, 2 clHoney, 6 clWhite Rum, ","Shake ingredients with crushed ice
",Alcoholic,Cocktail
170,Hot Toddy,Winter,"2Cloves, 1lemon, 1Cinnamon, 15 mlHoney, 50 mlWhiskey, ","STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",Alcoholic,Cocktail
171,Herbal flame,,"very sweet Tea, 5 shots Hot Damn, ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",Alcoholic,Coffee / Tea
172,Horse's Neck,"IBA,ContemporaryClassic","2 dashes Bitters, 5 oz Ginger ale, 2 oz Brandy, 1 long strip Lemon peel, ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Alcoholic,Ordinary Drink
173,Happy Skipper,,"NoneIce, NoneLime, NoneGinger ale, 1 1/2 cl Spiced rum, ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Alcoholic,Ordinary Drink
174,Hunter's Moon,,"2Blackberries, 100 mlLemonade, 10 mlSugar Syrup, 15 mlMaraschino Cherry, 25 mlVermouth, ","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange.",Alcoholic,Cocktail
175,Halloween Punch,Halloween,"20 clVodka, 6Ginger, 10Cloves, 1Red Chili Flakes, 3Orange Peel, 1 bottleCherry Juice, ","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days – the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.

When you’re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass.",Alcoholic,Punch / Party Drink
176,Havana Cocktail,,"1 tsp Lemon juice, 1 oz Pineapple juice, 1 oz Light rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
177,Holloween Punch,,"NoneSherbet, NoneSherbet, , orange
Carbonated soft drink, NoneGrape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Non alcoholic,Punch / Party Drink
178,Homemade Kahlua,,"1 fifth Vodka, 3 cups boiling Water, 2 oz Vanilla extract, 1 1/2 oz instant Coffee, 1 cup Corn syrup, 2 1/2 cups Sugar, ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Alcoholic,Homemade Liqueur
179,Hot Creamy Bush,,"6 oz hot Coffee, 3/4 shot Baileys irish cream, 1 shot Irish whiskey, ",Combine all ingredients in glass,Alcoholic,Coffee / Tea
180,Harvey Wallbanger,"IBA,ContemporaryClassic","4 oz Orange juice, 1/2 oz Galliano, 1 oz Vodka, ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Alcoholic,Ordinary Drink
181,Hawaiian Cocktail,,"1 tblsp Pineapple juice, 1/2 oz Triple sec, 2 oz Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
182,Hemingway Special,"IBA,ContemporaryClassic","3 partsLime Juice, 3 partsMaraschino Liqueur, 8 partsGrapefruit Juice, 12 partsRum, ",Pour all ingredients into a shaker with ice. Shake.,Alcoholic,Ordinary Drink
183,Highland Fling Cocktail,,"1 Olive, 2 dashes Orange bitters, 3/4 oz Sweet Vermouth, 1 1/2 oz Scotch, ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Alcoholic,Ordinary Drink
184,Hot Chocolate to Die for,,"mini Marshmallows, 1 cup Half-and-half, 1/2 tsp Vanilla extract, 1 tsp Butter, 12 oz fine Chocolate, ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Non alcoholic,Cocoa
185,Ipamena,,"fillIce, top up withGinger ale, 4 clPassion fruit juice, 2 tspBrown sugar, ½Lime, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",Non alcoholic,Ordinary Drink
186,Ice Pick,," to taste
Lemon juice, 6 oz Iced tea, 1 1/2 oz Vodka, ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Alcoholic,Ordinary Drink
187,Iced Coffee,,"4 cups cold Milk, 1/4 cup hot Water, 1/4 cup Sugar, 1/4 cup instant Coffee, ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,Non alcoholic,Coffee / Tea
188,Irish Cream,,"1 tblsp Chocolate syrup, 3 drops Coconut syrup, 1 can sweetened Condensed milk, 1 1/4 cup Half-and-half, 1 cup Scotch, ",Mix scotch and milk. Add half-and-half. Add rest.,Alcoholic,Homemade Liqueur
189,Irish Coffee,"IBA,ContemporaryClassic","1 tblsp Whipped cream, 1 tsp Sugar, 8 oz Coffee, 1 1/2 oz Irish whiskey, ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",Alcoholic,Coffee / Tea
190,Irish Spring,,"1 Cherry, 1 slice Orange, 1 oz Sweet and sour, 1 oz Orange juice, 1/2 oz Peach brandy, 1 oz Irish whiskey, ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",Alcoholic,Ordinary Drink
191,Imperial Fizz,,"NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey, 1/2 oz Light rum, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Alcoholic,Ordinary Drink
192,Irish Russian,,"Fill with Guinness stout, 1 dash Coca-Cola, 1 shot Kahlua, 1 shot Vodka, ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,Alcoholic,Beer
193,Imperial Cocktail,,"4 cl Aperol, 2 cl Gin, 4 cl Lime juice, ",Shake with ice and strain into cocktail glass.,Alcoholic,Cocktail
194,Iced Coffee Fillip,,"Strong cold Coffee, 2 tsp Kahlua, ",Mix together in a coffee mug and chill before serving.,Alcoholic,Coffee / Tea
195,Irish Curdling Cow,,"2-3 oz Orange juice, 3/4 oz Vodka, 3/4 oz Bourbon, 3/4 oz Baileys irish cream, ","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",Alcoholic,Cocktail
196,Jam Donut,,"2 pinchesSugar, 1 tspSugar syrup, 1/3 ozChambord raspberry liqueur, 2/3 ozBaileys irish cream, ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",Alcoholic,Shot
